Classe,Precision,Recall,F1-Score,Support
Art and Culture,0.833976833976834,0.6728971962616822,0.7448275862068966,321
Economy,0.7068062827225131,0.8766233766233766,0.782608695652174,154
Historical Studies,0.8639846743295019,0.787085514834206,0.8237442922374429,573
Life Sciences,0.8981481481481481,0.8391003460207612,0.8676207513416816,578
Literature,0.9421965317919075,0.7616822429906542,0.8423772609819121,214
Physical Sciences,0.8260869565217391,0.8837209302325582,0.8539325842696629,602
Social Sciences,0.7108262108262108,0.9007220216606499,0.7945859872611465,554
Technology & Innovation,0.875,0.8213660245183888,0.8473351400180669,571
