Classe,Precision,Recall,F1-Score,Support
Art and Culture,0.767515923566879,0.7507788161993769,0.7590551181102362,321
Economy,0.8451612903225807,0.8506493506493507,0.8478964401294499,154
Historical Studies,0.7076023391812866,0.8446771378708552,0.7700875099443119,573
Life Sciences,0.9047619047619048,0.8217993079584776,0.8612873980054397,578
Literature,0.8305084745762712,0.9158878504672897,0.8711111111111111,214
Physical Sciences,0.8821362799263351,0.7956810631229236,0.8366812227074236,602
Social Sciences,0.7779690189328744,0.8158844765342961,0.7964757709251101,554
Technology & Innovation,0.8809073724007561,0.8161120840630472,0.8472727272727273,571
