accuracy,loss,val_accuracy,val_loss,learning_rate
0.33517348766326904,1.7426124811172485,0.42271292209625244,1.7851353883743286,0.0010000000474974513
0.6257448196411133,1.0880495309829712,0.5667718052864075,1.1365597248077393,0.0010000000474974513
0.7197686433792114,0.8532588481903076,0.752541184425354,0.7500709295272827,0.0010000000474974513
0.8020504713058472,0.6438308358192444,0.7756747007369995,0.7251306176185608,0.0010000000474974513
0.8455135226249695,0.5132942199707031,0.7942516803741455,0.6427595615386963,0.0010000000474974513
0.8733788728713989,0.4376310408115387,0.7833859324455261,0.6956232786178589,0.0010000000474974513
0.892393946647644,0.3687024414539337,0.8201892971992493,0.6279906034469604,0.0010000000474974513
0.9158779978752136,0.3021931052207947,0.8363126516342163,0.5956066250801086,0.0010000000474974513
0.9305993914604187,0.24831002950668335,0.8159831762313843,0.6732929348945618,0.0010000000474974513
0.9409393668174744,0.2238881140947342,0.8370136618614197,0.6482986807823181,0.0010000000474974513
0.9499649405479431,0.19763237237930298,0.837714672088623,0.6235705018043518,0.0010000000474974513
0.9642481803894043,0.14144952595233917,0.849982500076294,0.6638486981391907,0.0005000000237487257
0.9712583422660828,0.11665814369916916,0.8468279242515564,0.7273357510566711,0.0005000000237487257
