accuracy,loss,val_accuracy,val_loss,learning_rate
0.5687766075134277,2.1945111751556396,0.571823239326477,2.148757219314575,0.0010000000474974513
0.5691753625869751,2.1529273986816406,0.571823239326477,2.1396915912628174,0.0010000000474974513
0.5691759586334229,2.145998954772949,0.571823239326477,2.1342597007751465,0.0010000000474974513
0.569174587726593,2.142643451690674,0.571823239326477,2.1328282356262207,0.0010000000474974513
0.5691758990287781,2.141061782836914,0.571823239326477,2.1325368881225586,0.0010000000474974513
0.5691756010055542,2.1402459144592285,0.571823239326477,2.1297671794891357,0.0010000000474974513
0.569176197052002,2.1391913890838623,0.571823239326477,2.129068613052368,0.0010000000474974513
0.5691760778427124,2.139052152633667,0.571823239326477,2.130527973175049,0.0010000000474974513
0.7825026512145996,1.6250977516174316,0.8398211002349854,1.4584782123565674,0.0010000000474974513
0.8441855907440186,1.461592197418213,0.8479400277137756,1.4470034837722778,0.0010000000474974513
0.8448553681373596,1.455987572669983,0.8484335541725159,1.4391615390777588,0.0010000000474974513
0.8451930284500122,1.450525164604187,0.8375462293624878,1.4514364004135132,0.0010000000474974513
0.8456360697746277,1.4332704544067383,0.8480497002601624,1.413912296295166,0.0010000000474974513
0.8458102345466614,1.4111464023590088,0.8470172882080078,1.3904684782028198,0.0010000000474974513
0.8462905883789062,1.372474193572998,0.8471115827560425,1.3574577569961548,0.0010000000474974513
